bookID,title,authors,isbn13,language_code,  num_pages,publication_date,publisher,in_stock,copyID,uID
37077,The Lady in Question (Effingtons  #7),Victoria Alexander,9780060517618,eng,384,11/25/2003,Avon,2,1,b37077c1
3011,Waiting for the Party: The Life of Frances Hodgson Burnett  1849-1924,Ann Thwaite,9780879237905,eng,274,9/1/1994,David R. Godine Publisher,1,0,b3011c0
17600,Homemade Love,bell hooks/Shane W. Evans,9780786806430,eng,32,12/23/2002,Jump At The Sun,2,0,b17600c0
17600,Homemade Love,bell hooks/Shane W. Evans,9780786806430,eng,32,12/23/2002,Jump At The Sun,2,1,b17600c1
30949,The Rise of Christianity : A Sociologist Reconsiders History,Rodney Stark,9780691027494,en-US,246,6/2/1996,Princeton University Press,1,0,b30949c0
43993,The Quiet Game (Penn Cage #1),Greg Iles,9780340686034,eng,580,7/1/2000,Coronet Books (GB),3,0,b43993c0
43993,The Quiet Game (Penn Cage #1),Greg Iles,9780340686034,eng,580,7/1/2000,Coronet Books (GB),3,1,b43993c1
43993,The Quiet Game (Penn Cage #1),Greg Iles,9780340686034,eng,580,7/1/2000,Coronet Books (GB),3,2,b43993c2
45334,Mandala: Luminous Symbols for Healing (with a New CD of Meditations and Exercises!),Judith Cornell/Joan Borysenko/Miron Borysenko,9780835608473,en-US,176,9/1/2006,Quest Books,1,0,b45334c0
29031,Twelve Ordinary Men,John F. MacArthur Jr.,9780849917738,en-US,224,11/18/2002,Thomas Nelson,2,0,b29031c0
29031,Twelve Ordinary Men,John F. MacArthur Jr.,9780849917738,en-US,224,11/18/2002,Thomas Nelson,2,1,b29031c1
7268,Dominion,Masamune Shirow,9781569714881,eng,225,5/2/2000,Dark Horse Manga,1,0,b7268c0
14313,Anna Karenina,Leo Tolstoy/Constance Garnett,9780809596812,eng,740,1/1/2004,Wildside Press,1,0,b14313c0
24780,The Book of Three (The Chronicles of Prydain  #1),Lloyd Alexander,9780805080483,en-US,190,5/16/2006,Square Fish,3,0,b24780c0
